2017-06-17T22:53:06Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 27.922, eth_shares: 562, eth_shares_pct: 26.35, dcr_speed: 335.069, dcr_shares: 2415, dcr_shares_pct: 39.36
2017-06-17T22:53:06Z02:00, machine: minr, id: GPU1, temp: 66, fan: 40, eth_speed: 29.350, eth_shares: 595, eth_shares_pct: 27.89, dcr_speed: 352.195, dcr_shares: 2632, dcr_shares_pct: 42.89
2017-06-17T22:53:06Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.290, eth_shares: 406, eth_shares_pct: 19.03, dcr_speed: 279.485, dcr_shares: 1088, dcr_shares_pct: 17.73
2017-06-17T22:53:06Z02:00, machine: minr, id: GPU3, temp: 72, fan: 69, eth_speed: 28.899, eth_shares: 615, eth_shares_pct: 28.83, dcr_speed: 0, dcr_shares: 7, dcr_shares_pct: 0.11
2017-06-17T22:53:17Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 27.907, eth_shares: 562, eth_shares_pct: 26.34, dcr_speed: 334.888, dcr_shares: 2415, dcr_shares_pct: 39.36
2017-06-17T22:53:17Z02:00, machine: minr, id: GPU1, temp: 67, fan: 40, eth_speed: 29.359, eth_shares: 596, eth_shares_pct: 27.93, dcr_speed: 352.304, dcr_shares: 2632, dcr_shares_pct: 42.89
2017-06-17T22:53:17Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.746, eth_shares: 406, eth_shares_pct: 19.03, dcr_speed: 284.947, dcr_shares: 1088, dcr_shares_pct: 17.73
2017-06-17T22:53:17Z02:00, machine: minr, id: GPU3, temp: 72, fan: 69, eth_speed: 28.913, eth_shares: 615, eth_shares_pct: 28.82, dcr_speed: 0, dcr_shares: 7, dcr_shares_pct: 0.11
2017-06-17T22:53:27Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 27.906, eth_shares: 562, eth_shares_pct: 26.34, dcr_speed: 334.875, dcr_shares: 2416, dcr_shares_pct: 39.37
2017-06-17T22:53:27Z02:00, machine: minr, id: GPU1, temp: 67, fan: 40, eth_speed: 29.312, eth_shares: 596, eth_shares_pct: 27.93, dcr_speed: 351.744, dcr_shares: 2632, dcr_shares_pct: 42.89
2017-06-17T22:53:27Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.756, eth_shares: 406, eth_shares_pct: 19.03, dcr_speed: 285.076, dcr_shares: 1088, dcr_shares_pct: 17.73
2017-06-17T22:53:27Z02:00, machine: minr, id: GPU3, temp: 72, fan: 69, eth_speed: 28.917, eth_shares: 615, eth_shares_pct: 28.82, dcr_speed: 0, dcr_shares: 7, dcr_shares_pct: 0.11
2017-06-17T22:53:37Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 28.124, eth_shares: 563, eth_shares_pct: 26.37, dcr_speed: 337.491, dcr_shares: 2416, dcr_shares_pct: 39.37
2017-06-17T22:53:37Z02:00, machine: minr, id: GPU1, temp: 67, fan: 40, eth_speed: 29.064, eth_shares: 596, eth_shares_pct: 27.92, dcr_speed: 348.771, dcr_shares: 2632, dcr_shares_pct: 42.89
2017-06-17T22:53:37Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.735, eth_shares: 406, eth_shares_pct: 19.02, dcr_speed: 284.818, dcr_shares: 1088, dcr_shares_pct: 17.73
2017-06-17T22:53:37Z02:00, machine: minr, id: GPU3, temp: 72, fan: 69, eth_speed: 28.907, eth_shares: 615, eth_shares_pct: 28.81, dcr_speed: 0, dcr_shares: 7, dcr_shares_pct: 0.11
2017-06-17T22:53:47Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 27.900, eth_shares: 563, eth_shares_pct: 26.37, dcr_speed: 334.804, dcr_shares: 2416, dcr_shares_pct: 39.35
2017-06-17T22:53:47Z02:00, machine: minr, id: GPU1, temp: 67, fan: 40, eth_speed: 29.287, eth_shares: 596, eth_shares_pct: 27.92, dcr_speed: 351.447, dcr_shares: 2635, dcr_shares_pct: 42.92
2017-06-17T22:53:47Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.735, eth_shares: 406, eth_shares_pct: 19.02, dcr_speed: 284.824, dcr_shares: 1088, dcr_shares_pct: 17.72
2017-06-17T22:53:47Z02:00, machine: minr, id: GPU3, temp: 72, fan: 69, eth_speed: 28.914, eth_shares: 615, eth_shares_pct: 28.81, dcr_speed: 0, dcr_shares: 7, dcr_shares_pct: 0.11
2017-06-17T22:53:57Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 27.912, eth_shares: 563, eth_shares_pct: 26.37, dcr_speed: 334.946, dcr_shares: 2416, dcr_shares_pct: 39.34
2017-06-17T22:53:57Z02:00, machine: minr, id: GPU1, temp: 67, fan: 40, eth_speed: 29.347, eth_shares: 596, eth_shares_pct: 27.92, dcr_speed: 352.168, dcr_shares: 2636, dcr_shares_pct: 42.92
2017-06-17T22:53:57Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.727, eth_shares: 406, eth_shares_pct: 19.02, dcr_speed: 284.718, dcr_shares: 1088, dcr_shares_pct: 17.72
2017-06-17T22:53:57Z02:00, machine: minr, id: GPU3, temp: 72, fan: 69, eth_speed: 28.919, eth_shares: 615, eth_shares_pct: 28.81, dcr_speed: 0, dcr_shares: 7, dcr_shares_pct: 0.11
2017-06-17T22:54:07Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 27.925, eth_shares: 563, eth_shares_pct: 26.37, dcr_speed: 335.099, dcr_shares: 2416, dcr_shares_pct: 39.34
2017-06-17T22:54:07Z02:00, machine: minr, id: GPU1, temp: 67, fan: 40, eth_speed: 29.347, eth_shares: 596, eth_shares_pct: 27.92, dcr_speed: 352.160, dcr_shares: 2637, dcr_shares_pct: 42.93
2017-06-17T22:54:07Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.726, eth_shares: 406, eth_shares_pct: 19.02, dcr_speed: 284.709, dcr_shares: 1088, dcr_shares_pct: 17.71
2017-06-17T22:54:07Z02:00, machine: minr, id: GPU3, temp: 72, fan: 69, eth_speed: 28.915, eth_shares: 615, eth_shares_pct: 28.81, dcr_speed: 0, dcr_shares: 7, dcr_shares_pct: 0.11
2017-06-17T22:54:17Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 27.924, eth_shares: 563, eth_shares_pct: 26.37, dcr_speed: 335.082, dcr_shares: 2418, dcr_shares_pct: 39.36
2017-06-17T22:54:17Z02:00, machine: minr, id: GPU1, temp: 67, fan: 40, eth_speed: 29.076, eth_shares: 596, eth_shares_pct: 27.92, dcr_speed: 348.913, dcr_shares: 2637, dcr_shares_pct: 42.92
2017-06-17T22:54:17Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.745, eth_shares: 406, eth_shares_pct: 19.02, dcr_speed: 284.939, dcr_shares: 1088, dcr_shares_pct: 17.71
2017-06-17T22:54:17Z02:00, machine: minr, id: GPU3, temp: 72, fan: 69, eth_speed: 28.904, eth_shares: 615, eth_shares_pct: 28.81, dcr_speed: 0, dcr_shares: 7, dcr_shares_pct: 0.11
2017-06-17T22:54:27Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 27.924, eth_shares: 563, eth_shares_pct: 26.36, dcr_speed: 335.086, dcr_shares: 2418, dcr_shares_pct: 39.34
2017-06-17T22:54:27Z02:00, machine: minr, id: GPU1, temp: 67, fan: 40, eth_speed: 29.123, eth_shares: 597, eth_shares_pct: 27.95, dcr_speed: 349.473, dcr_shares: 2637, dcr_shares_pct: 42.91
2017-06-17T22:54:27Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.668, eth_shares: 406, eth_shares_pct: 19.01, dcr_speed: 284.021, dcr_shares: 1090, dcr_shares_pct: 17.74
2017-06-17T22:54:27Z02:00, machine: minr, id: GPU3, temp: 72, fan: 69, eth_speed: 28.913, eth_shares: 615, eth_shares_pct: 28.79, dcr_speed: 0, dcr_shares: 7, dcr_shares_pct: 0.11
2017-06-17T22:54:37Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 27.910, eth_shares: 563, eth_shares_pct: 26.36, dcr_speed: 334.914, dcr_shares: 2418, dcr_shares_pct: 39.34
2017-06-17T22:54:37Z02:00, machine: minr, id: GPU1, temp: 67, fan: 40, eth_speed: 29.319, eth_shares: 597, eth_shares_pct: 27.95, dcr_speed: 351.823, dcr_shares: 2637, dcr_shares_pct: 42.91
2017-06-17T22:54:37Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.746, eth_shares: 406, eth_shares_pct: 19.01, dcr_speed: 284.956, dcr_shares: 1090, dcr_shares_pct: 17.74
2017-06-17T22:54:37Z02:00, machine: minr, id: GPU3, temp: 72, fan: 69, eth_speed: 28.910, eth_shares: 615, eth_shares_pct: 28.79, dcr_speed: 0, dcr_shares: 7, dcr_shares_pct: 0.11
2017-06-17T22:54:47Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 27.915, eth_shares: 563, eth_shares_pct: 26.36, dcr_speed: 334.975, dcr_shares: 2419, dcr_shares_pct: 39.35
2017-06-17T22:54:47Z02:00, machine: minr, id: GPU1, temp: 67, fan: 40, eth_speed: 28.979, eth_shares: 597, eth_shares_pct: 27.95, dcr_speed: 347.743, dcr_shares: 2637, dcr_shares_pct: 42.9
2017-06-17T22:54:47Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.727, eth_shares: 406, eth_shares_pct: 19.01, dcr_speed: 284.721, dcr_shares: 1090, dcr_shares_pct: 17.73
2017-06-17T22:54:47Z02:00, machine: minr, id: GPU3, temp: 72, fan: 69, eth_speed: 28.907, eth_shares: 615, eth_shares_pct: 28.79, dcr_speed: 0, dcr_shares: 7, dcr_shares_pct: 0.11
2017-06-17T22:54:57Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 21.112, eth_shares: 563, eth_shares_pct: 26.35, dcr_speed: 253.345, dcr_shares: 2419, dcr_shares_pct: 39.35
2017-06-17T22:54:57Z02:00, machine: minr, id: GPU1, temp: 67, fan: 40, eth_speed: 29.384, eth_shares: 598, eth_shares_pct: 27.98, dcr_speed: 352.602, dcr_shares: 2637, dcr_shares_pct: 42.9
2017-06-17T22:54:57Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.740, eth_shares: 406, eth_shares_pct: 19, dcr_speed: 284.881, dcr_shares: 1090, dcr_shares_pct: 17.73
2017-06-17T22:54:57Z02:00, machine: minr, id: GPU3, temp: 72, fan: 69, eth_speed: 24.243, eth_shares: 615, eth_shares_pct: 28.78, dcr_speed: 0, dcr_shares: 7, dcr_shares_pct: 0.11
2017-06-17T22:55:07Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 28.072, eth_shares: 563, eth_shares_pct: 26.35, dcr_speed: 336.864, dcr_shares: 2420, dcr_shares_pct: 39.36
2017-06-17T22:55:07Z02:00, machine: minr, id: GPU1, temp: 67, fan: 40, eth_speed: 29.359, eth_shares: 598, eth_shares_pct: 27.98, dcr_speed: 352.309, dcr_shares: 2637, dcr_shares_pct: 42.89
2017-06-17T22:55:07Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.737, eth_shares: 406, eth_shares_pct: 19, dcr_speed: 284.841, dcr_shares: 1090, dcr_shares_pct: 17.73
2017-06-17T22:55:07Z02:00, machine: minr, id: GPU3, temp: 72, fan: 69, eth_speed: 28.915, eth_shares: 615, eth_shares_pct: 28.78, dcr_speed: 0, dcr_shares: 7, dcr_shares_pct: 0.11
2017-06-17T22:55:17Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 27.960, eth_shares: 563, eth_shares_pct: 26.35, dcr_speed: 335.521, dcr_shares: 2421, dcr_shares_pct: 39.37
2017-06-17T22:55:17Z02:00, machine: minr, id: GPU1, temp: 67, fan: 40, eth_speed: 29.359, eth_shares: 598, eth_shares_pct: 27.98, dcr_speed: 352.309, dcr_shares: 2637, dcr_shares_pct: 42.89
